org,model,modelId
AI-MO,Kimina-Prover-72B,AI-MO/Kimina-Prover-72B
AIDC-AI,Marco-DeepResearch-8B,AIDC-AI/Marco-DeepResearch-8B
AIDC-AI,Marco-Mini-Base,AIDC-AI/Marco-Mini-Base
AIDC-AI,Marco-Mini-Global-Base,AIDC-AI/Marco-Mini-Global-Base
AIDC-AI,Marco-Mini-Instruct,AIDC-AI/Marco-Mini-Instruct
AIDC-AI,Marco-Nano-Base,AIDC-AI/Marco-Nano-Base
AIDC-AI,Marco-Nano-Instruct,AIDC-AI/Marco-Nano-Instruct
AIDC-AI,Ovis1.5-Llama3-8B,AIDC-AI/Ovis1.5-Llama3-8B
AIDC-AI,Ovis1.6-Gemma2-9B,AIDC-AI/Ovis1.6-Gemma2-9B
AIDC-AI,Ovis2-16B,AIDC-AI/Ovis2-16B
AIDC-AI,Ovis2-1B,AIDC-AI/Ovis2-1B
AIDC-AI,Ovis2-4B,AIDC-AI/Ovis2-4B
AIDC-AI,Ovis2-8B,AIDC-AI/Ovis2-8B
AIDC-AI,Ovis2.5-2B,AIDC-AI/Ovis2.5-2B
AIDC-AI,Ovis2.5-9B,AIDC-AI/Ovis2.5-9B
AIDC-AI,Ovis2.6-30B-A3B,AIDC-AI/Ovis2.6-30B-A3B
AIDC-AI,Ovis2.6-80B-A3B,AIDC-AI/Ovis2.6-80B-A3B
allenai,Olmo-3-1025-7B,allenai/Olmo-3-1025-7B
allenai,tulu-2-dpo-7b,allenai/tulu-2-dpo-7b
apple,CADD-Base-7B,apple/CADD-Base-7B
apple,OpenELM-1_1B-Instruct,apple/OpenELM-1_1B-Instruct
apple,OpenELM-3B-Instruct,apple/OpenELM-3B-Instruct
apple,OpenELM-450M-Instruct,apple/OpenELM-450M-Instruct
arcee-ai,Arcee-Spark,arcee-ai/Arcee-Spark
arcee-ai,Arcee-Spark-FP32,arcee-ai/Arcee-Spark-FP32
arcee-ai,Arcee-VyLinh,arcee-ai/Arcee-VyLinh
bigcode,gpt_bigcode-santacoder,bigcode/gpt_bigcode-santacoder
bigcode,santacoder,bigcode/santacoder
bigcode,starcoder,bigcode/starcoder
bigcode,starcoder2-15b,bigcode/starcoder2-15b
bigcode,starcoder2-3b,bigcode/starcoder2-3b
bigcode,starcoder2-7b,bigcode/starcoder2-7b
bigcode,starcoderbase,bigcode/starcoderbase
bigcode,starcoderbase-1b,bigcode/starcoderbase-1b
bigcode,tiny_starcoder_py,bigcode/tiny_starcoder_py
CohereLabs,aya-23-35B,CohereLabs/aya-23-35B
CohereLabs,aya-23-8B,CohereLabs/aya-23-8B
CohereLabs,aya-expanse-32b,CohereLabs/aya-expanse-32b
CohereLabs,aya-expanse-8b,CohereLabs/aya-expanse-8b
CohereLabs,aya-vision-8b,CohereLabs/aya-vision-8b
CohereLabs,c4ai-command-a-03-2025,CohereLabs/c4ai-command-a-03-2025
CohereLabs,c4ai-command-r-plus,CohereLabs/c4ai-command-r-plus
CohereLabs,c4ai-command-r-plus-08-2024,CohereLabs/c4ai-command-r-plus-08-2024
CohereLabs,c4ai-command-r-plus-4bit,CohereLabs/c4ai-command-r-plus-4bit
CohereLabs,c4ai-command-r-v01,CohereLabs/c4ai-command-r-v01
CohereLabs,c4ai-command-r-v01-4bit,CohereLabs/c4ai-command-r-v01-4bit
CohereLabs,c4ai-command-r7b-12-2024,CohereLabs/c4ai-command-r7b-12-2024
CohereLabs,command-a-vision-07-2025,CohereLabs/command-a-vision-07-2025
CohereLabs,tiny-aya-base,CohereLabs/tiny-aya-base
CohereLabs,tiny-aya-earth,CohereLabs/tiny-aya-earth
CohereLabs,tiny-aya-fire,CohereLabs/tiny-aya-fire
CohereLabs,tiny-aya-global,CohereLabs/tiny-aya-global
CohereLabs,tiny-aya-water,CohereLabs/tiny-aya-water
docling-project,SmolDocling-256M-preview,docling-project/SmolDocling-256M-preview
google,functiongemma-270m-it,google/functiongemma-270m-it
google,paligemma-3b-mix-448,google/paligemma-3b-mix-448
google,paligemma-3b-pt-224,google/paligemma-3b-pt-224
google,paligemma-3b-pt-448,google/paligemma-3b-pt-448
google,paligemma-3b-pt-896,google/paligemma-3b-pt-896
google,paligemma2-10b-mix-448,google/paligemma2-10b-mix-448
google,paligemma2-3b-ft-docci-448,google/paligemma2-3b-ft-docci-448
google,paligemma2-3b-mix-224,google/paligemma2-3b-mix-224
google,paligemma2-3b-pt-448,google/paligemma2-3b-pt-448
google,txgemma-27b-predict,google/txgemma-27b-predict
GSAI-ML,LLaDA-1.5,GSAI-ML/LLaDA-1.5
GSAI-ML,LLaDA-8B-Base,GSAI-ML/LLaDA-8B-Base
GSAI-ML,LLaDA-8B-Instruct,GSAI-ML/LLaDA-8B-Instruct
GSAI-ML,LLaDA-o,GSAI-ML/LLaDA-o
h2oai,h2o-danube3-4b-chat,h2oai/h2o-danube3-4b-chat
h2oai,h2o-danube3-500m-chat,h2oai/h2o-danube3-500m-chat
h2oai,h2ovl-mississippi-2b,h2oai/h2ovl-mississippi-2b
h2oai,h2ovl-mississippi-800m,h2oai/h2ovl-mississippi-800m
ibm-research,merlinite-7b,ibm-research/merlinite-7b
ibm-research,PowerLM-3b,ibm-research/PowerLM-3b
ibm-research,PowerMoE-3b,ibm-research/PowerMoE-3b
LGAI-EXAONE,EXAONE-3.0-7.8B-Instruct,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct
LGAI-EXAONE,EXAONE-3.5-2.4B-Instruct,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct
LGAI-EXAONE,EXAONE-3.5-32B-Instruct,LGAI-EXAONE/EXAONE-3.5-32B-Instruct
LGAI-EXAONE,EXAONE-3.5-7.8B-Instruct,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct
LGAI-EXAONE,EXAONE-4.0-1.2B,LGAI-EXAONE/EXAONE-4.0-1.2B
LGAI-EXAONE,EXAONE-4.0-1.2B-FP8,LGAI-EXAONE/EXAONE-4.0-1.2B-FP8
LGAI-EXAONE,EXAONE-4.0-32B,LGAI-EXAONE/EXAONE-4.0-32B
LGAI-EXAONE,EXAONE-4.0-32B-FP8,LGAI-EXAONE/EXAONE-4.0-32B-FP8
LGAI-EXAONE,EXAONE-4.0.1-32B,LGAI-EXAONE/EXAONE-4.0.1-32B
LGAI-EXAONE,EXAONE-4.5-33B,LGAI-EXAONE/EXAONE-4.5-33B
LGAI-EXAONE,EXAONE-4.5-33B-FP8,LGAI-EXAONE/EXAONE-4.5-33B-FP8
